trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-25.99990865006496,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067554}",20,0,-23.020520599820312,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485083}",30,0,-101.78428139302191,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523234}",20,0,-72.35133763520244,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9512294245007141}",30,0,-89.24803329245741,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842489}",20,4,-85.46637342749615,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9323938199059484}",25,0,-93.2366094492653,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866359}",25,0,-131.8503632033484,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712283}",20,0,-164.8993465740246,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359596}",20,0,-112.87017064352402,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965284}",20,0,-155.9405756371795,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171576}",25,3,-117.68203271062558,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.8780954309205614}",20,0,-127.8965698254003,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.869358235398806}",20,0,-69.57330795784618,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-104.76359691329658,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662115}",20,0,-62.79621771568326,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963839}",20,0,-96.30906942431554,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.8352702114112722}",20,0,-29.25580709877775,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433624}",20,0,-118.85199749857716,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.818730753077982}",20,0,-47.224843033965755,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701873}",30,0,-118.65768917616212,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624786}",20,0,-122.63067550836467,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
